price buyer acres sqft condition covpkg age units salesdate region
284000 AZ 0.6657 7524 Average 6 35 10 1999 CentPhoenix
680000 AZ 1.0739 14525 Average 14 31 23 1998 CentPhoenix
818000 AZ 0.4316 14940 Average 0 40 20 1999 CentPhoenix
1280000 AZ 3.4341 45390 Average 49 31 54 1998 CentPhoenix
544000 AZ 0.8157 16780 Average 0 17 26 1999 CentPhoenix
300000 AZ 0.894 5925 Average 0 46 10 2000 CentPhoenix
540000 AZ 1 16800 Average 0 43 21 2000 CentPhoenix
498000 AZ 0.5624 12216 Average . 38 25 1999 CentPhoenix
1300000 AZ 1.0796 24200 Average 0 27 50 2000 CentPhoenix
1725000 AZ 1.0269 30570 Average 0 37 45 2000 CentPhoenix
500000 AZ 0.779 10105 Average 22 51 22 1999 CentPhoenix
289000 AZ 2.8582 5394 Fair 0 50 6 1999 CentPhoenix
258000 AZ 0.7993 5747 Fair 0 17 11 1998 CentPhoenix
400000 AZ 0.696 6716 Fair 19 40 12 2000 CentPhoenix
325000 AZ 0.587 7044 Fair 15 41 12 2000 CentPhoenix
334000 AZ 0.6846 8000 Fair 10 34 10 1998 CentPhoenix
567500 AZ 0.237 11194 Fair 20 42 18 2000 CentPhoenix
390000 AZ 1.3074 12750 Fair 9 42 13 1999 CentPhoenix
561000 AZ 1.458 13300 Fair 0 52 23 2000 CentPhoenix
558400 AZ 1.03 20474 Fair 20 50 28 1999 CentPhoenix
284000 AZ 0.65 8064 Fair 12 35 12 1999 CentPhoenix
600000 AZ 1.363 15059 Fair 20 36 20 1999 CentPhoenix
785000 AZ 1.2245 26506 Fair 0 34 34 1998 CentPhoenix
285000 AZ 0.5965 9234 Fair 15 42 14 1998 CentPhoenix
285000 AZ 0.7447 5504 Average 0 50 7 1998 CentPhoenix
273000 AZ 0.5629 10776 Average 10 14 8 1998 CentPhoenix
660000 AZ 0.4741 14766 Average 16 15 16 1998 CentPhoenix
2875000 AZ 2.2714 53130 Average 0 27 73 2000 CentPhoenix
1250000 AZ 1.056 58338 Average 30 34 34 1998 CentPhoenix
1408000 AZ 1.056 27940 Average 30 36 34 2000 CentPhoenix
330000 AZ 0.4156 5600 Average 0 36 8 1999 CentPhoenix
970500 AZ 0.79 24100 Average 30 21 28 2000 CentPhoenix
725000 AZ 1.077 24550 Average 40 26 30 2000 CentPhoenix
595000 AZ 1.8818 19455 Fair 0 46 34 1998 CentPhoenix
316000 AZ 0.562 7218 Average 0 14 9 2000 CentPhoenix
320000 AZ 0.476 7350 Average 0 17 10 2000 CentPhoenix
295000 AZ 0.4894 7920 Average 0 15 8 2000 CentPhoenix
625000 AZ 0.78 19106 Average 24 36 22 1999 CentPhoenix
895000 AZ 0.9643 23650 Average 32 18 32 2000 CentPhoenix
1080000 AZ 1.2672 27200 Average 0 18 40 2000 CentPhoenix
855000 AZ 1.036 28720 Average 0 16 38 1999 CentPhoenix
1800000 AZ 0.9091 31875 Average 48 14 39 1999 CentPhoenix
1895000 AZ 1.9861 59705 Average 0 24 63 1998 CentPhoenix
2225000 AZ 3.1 73920 Average . 17 112 2001 CentPhoenix
10600000 AZ 13.7091 260338 Average 325 27 325 1999 CentPhoenix
2750000 AZ 2.662 58930 Average 116 18 93 1998 CentPhoenix
2500000 AZ 6.6422 114028 Average 140 27 140 1998 CentPhoenix
2800000 AZ 2.662 55650 Average 116 20 93 2000 CentPhoenix
302500 AZ 0.7484 8051 Fair 0 39 11 1999 CentPhoenix
385000 AZ 0.748 8051 Fair 0 40 11 2000 CentPhoenix
336500 AZ 0.3422 8083 Fair 0 75 17 2000 CentPhoenix
290000 AZ 0.9459 7608 Average 0 38 15 1998 CentPhoenix
260000 AZ 0.5308 6171 Average 8 37 8 1999 CentPhoenix
335000 AZ 0.3214 7364 Average 0 57 20 1998 CentPhoenix
315000 AZ 0.9387 7750 Average 0 43 14 1998 CentPhoenix
275000 AZ 0.5712 9360 Fair 0 77 17 1998 CentPhoenix
350000 AZ 0.2397 9821 Fair 0 45 17 2000 CentPhoenix
530000 AZ 0.9366 10109 Fair 16 44 16 1999 CentPhoenix
615000 AZ 1.7073 25848 Fair 0 24 26 1998 CentPhoenix
3200000 AZ 8.65 101040 Excellent 158 22 123 2000 CentPhoenix
325000 AZ 0.5751 5827 Average 0 42 10 2000 CentPhoenix
445000 AZ 0.9376 6720 Average 0 44 14 1999 CentPhoenix
265000 AZ 0.5934 7208 Average 9 42 9 1999 CentPhoenix
420000 AZ 0.52 7314 Average 10 35 8 1999 CentPhoenix
399000 AZ 0.5496 7314 Average 8 35 8 1999 CentPhoenix
365000 AZ 0.5365 7643 Average 10 41 8 1999 CentPhoenix
530000 AZ 0.6043 8200 Average 10 41 12 1998 CentPhoenix
400000 AZ 0.6015 11800 Average 20 39 17 1999 CentPhoenix
1447000 AZ 2.1006 51960 Average 54 36 52 1998 CentPhoenix
377000 AZ 0.3761 7844 Average 10 40 10 2000 CentPhoenix
290000 AZ 0.369 6326 Fair 0 42 8 2000 CentPhoenix
392500 AZ 0.8363 10444 Fair 11 38 12 1999 CentPhoenix
920000 AZ 0.9091 19250 Average 0 28 39 2000 CentPhoenix
1475000 AZ 1.1093 26500 Average 42 36 42 1999 CentPhoenix
335000 AZ 0.929 7781 Fair . 38 12 2001 CentPhoenix
285000 AZ 0.6198 4750 Average 0 61 11 2000 CentPhoenix
912000 AZ 2.263 29568 Fair 0 15 38 2000 CentPhoenix
425000 AZ 0.4992 9520 Poor 0 17 18 2000 CentPhoenix
9500000 AZ 10.2871 201113 Average 32 24 395 1998 CentPhoenix
840000 AZ 1.9932 22400 Average 32 50 32 2000 CentPhoenix
445000 AZ 0.9284 10073 Average 14 29 13 2000 CentPhoenix
380000 AZ 0.4108 9296 Average 11 41 12 1999 CentPhoenix
885000 AZ 1.4455 23626 Average 21 35 20 1998 CentPhoenix
265000 AZ 0.1653 6792 Fair 3 37 7 2000 CentPhoenix
20500000 AZ 10.106 259928 Good 296 3 276 1999 CentPhoenix
467500 AZ 0.5 8169 Average 15 39 15 1999 CentPhoenix
475000 AZ 1.0586 13150 Average 20 34 16 1999 CentPhoenix
730000 AZ 0.9674 14297 Average 24 36 24 2000 CentPhoenix
550000 AZ 0.7255 14408 Average 24 35 24 1999 CentPhoenix
528000 AZ 0.6246 15287 Average 24 31 21 1999 CentPhoenix
632000 AZ 0.9957 16375 Average 0 33 19 1999 CentPhoenix
875000 AZ 0.991 20168 Average 20 41 20 2000 CentPhoenix
645000 AZ 1.4566 21268 Average 0 29 24 2000 CentPhoenix
565000 AZ 0.6428 23913 Average 0 40 34 1998 CentPhoenix
975000 AZ 1.052 26670 Average . 38 34 2001 CentPhoenix
1400000 AZ 0.9298 35280 Average 42 28 40 1998 CentPhoenix
2175000 AZ 2.3447 40839 Average 28 36 28 1998 CentPhoenix
1030000 AZ 1.5685 26836 Average 30 28 29 1999 CentPhoenix
1200000 AZ 0.8724 37250 Average 0 35 70 1998 CentPhoenix
1050000 AZ 1.2276 25414 Average 0 36 34 2000 CentPhoenix
545000 AZ 0.7958 11720 Average 0 37 17 2000 CentPhoenix
1990000 AZ 2.2602 46600 Average 0 30 100 1999 CentPhoenix
265000 AZ 1.341 8080 Average 0 54 13 1999 CentPhoenix
395000 AZ 0.76 6750 Average . 37 12 1998 CentPhoenix
275790 AZ 0.3507 7720 Average 10 30 10 1998 CentPhoenix
250000 AZ 0.6313 6992 Fair 2 50 9 2000 CentPhoenix
367000 AZ 0.7258 11340 Fair 0 31 14 1998 CentPhoenix
410000 AZ 0.4821 14264 Fair 0 43 28 1999 CentPhoenix
465000 AZ 1.1791 14720 Fair 0 40 24 1999 CentPhoenix
450000 AZ 1.4501 22384 Fair 0 35 32 1998 CentPhoenix
275000 AZ 1.317 10102 Fair 0 54 17 1998 CentPhoenix
900000 AZ 0.927 16320 Average 20 31 14 2000 CentPhoenix
532883 AZ 0.916 22732 Average . 34 43 2001 CentPhoenix
590000 AZ 0.5628 15900 Average 0 16 24 1999 CentPhoenix
1350000 AZ 0.9961 26845 Average 34 19 34 1998 CentPhoenix
1150000 AZ 1.109 27900 Average . 41 38 1998 CentPhoenix
4100000 AZ 4.0292 106500 Average 143 26 142 1998 CentPhoenix
351000 AZ 0.8424 10842 Fair 14 30 13 1999 CentPhoenix
766400 AZ 4.3485 24892 Fair 0 14 29 1998 CentPhoenix
1500000 AZ 2.3362 61924 Fair 63 25 72 1998 CentPhoenix
300000 AZ 0.3489 6219 Fair 8 24 12 1999 CentPhoenix
5325000 AZ 4.7 89213 Average 128 28 128 2000 CentPhoenix
1325000 AZ 1.9071 40480 Average 50 15 44 2000 CentPhoenix
915000 AZ 1.2245 27400 Average 0 35 34 1999 CentPhoenix
2850000 AZ 6.64 115440 Average 160 27 156 1999 CentPhoenix
1245000 AZ 1.0004 23447 Average 36 13 32 1999 CentPhoenix
4221528 AZ 3.2399 66988 Average 90 14 90 2000 CentPhoenix
1100000 AZ 1.6459 39322 Average 0 34 54 1998 CentPhoenix
900000 AZ 1.7603 23220 Average 0 30 30 2000 CentPhoenix
436000 AZ 0.4591 13410 Average 0 13 21 1998 CentPhoenix
275000 AZ 0.2466 6816 Fair 0 71 12 1998 CentPhoenix
260000 AZ 0.7117 6096 Average 0 38 12 1998 CentPhoenix
420000 AZ 0.5883 8998 Average 9 12 9 1998 CentPhoenix
825000 AZ 0.8747 23748 Average 28 13 28 1998 CentPhoenix
1800000 AZ 1.47 52650 Average 0 17 72 1999 CentPhoenix
3920000 AZ 3.754 74072 Average 0 17 143 1999 CentPhoenix
4650000 AZ 5.0413 124899 Average 0 16 186 1998 CentPhoenix
1457000 AZ 1.043 32220 Average 58 21 47 2000 CentPhoenix
980000 AZ 0.8752 23580 Average 28 15 28 2000 CentPhoenix
530000 AZ 0.9577 12133 Fair 15 47 15 1998 CentPhoenix
3400000 AZ 4.0379 78400 Average 30 22 180 1999 CentPhoenix
400000 AZ 0.699 16955 Average 0 52 21 1999 CentPhoenix
565000 AZ 1.366 16000 Average 20 37 20 2000 CentPhoenix
110000 AZ 0.53 3975 Average 6 32 5 1990 CentPhoenix
123000 AZ 0.42 4140 Average 0 30 6 1990 CentPhoenix
128000 AZ 0.47 4260 Average . 27 7 1990 CentPhoenix
181500 AZ 0.317 5596 Average 0 47 9 1993 CentPhoenix
240000 AZ 0.76 9570 Average 12 30 11 1990 CentPhoenix
425000 AZ 0.636 10096 Average 25 38 15 1997 CentPhoenix
331000 AZ 0.66 10200 Average 0 6 12 1990 CentPhoenix
187000 AZ 0.72 10422 Average 16 38 12 1990 CentPhoenix
270000 AZ 0.827 11460 Average 3 33 12 1996 CentPhoenix
265000 AZ 0.443 11525 Average 0 28 18 1993 CentPhoenix
420000 AZ 0.551 15674 Average 13 33 14 1997 CentPhoenix
118500 AZ 0.393 6000 Average 0 22 6 1992 CentPhoenix
175000 AZ 0.437 4400 Average 6 47 6 1996 CentPhoenix
170000 AZ 0.29 3092 Average 8 26 8 1990 CentPhoenix
235000 AZ 0.54 5360 Average 8 31 8 1990 CentPhoenix
121000 AZ 0.18 3393 Fair 5 32 8 1990 CentPhoenix
170000 AZ 0.38 4346 Fair 7 32 6 1990 CentPhoenix
130000 AZ 0.51 4701 Fair 5 35 7 1990 CentPhoenix
135000 AZ 0.69 5997 Fair 0 35 7 1990 CentPhoenix
148206 AZ 0.7 9186 Fair 2 37 15 1990 CentPhoenix
150000 AZ 0.158 9600 Fair 0 34 12 1996 CentPhoenix
181227 AZ 1.02 10200 Fair 12 27 12 1990 CentPhoenix
345000 AZ 1.02 10204 Fair 12 27 12 1990 CentPhoenix
173900 AZ 0.884 10600 Fair 0 35 14 1993 CentPhoenix
240000 AZ 0.48 14264 Fair 0 34 29 1990 CentPhoenix
360000 AZ 0.61 17400 Fair 0 36 24 1997 CentPhoenix
230000 AZ 0.67 19408 Fair 24 26 26 1990 CentPhoenix
340000 AZ 1.15 20055 Fair 8 28 34 1990 CentPhoenix
250000 AZ 0.93 21306 Fair 0 30 28 1990 CentPhoenix
1275000 AZ 3.528 64794 Fair 70 19 72 1991 CentPhoenix
325000 AZ 0.885 20000 Fair 0 35 20 1997 CentPhoenix
116000 AZ 0.59 4576 Fair 0 42 8 1990 CentPhoenix
140000 AZ 0.67 9838 Fair 16 32 17 1990 CentPhoenix
118000 AZ 0.522 5153 Fair 8 31 8 1991 CentPhoenix
105000 AZ 0.32 5800 Poor 0 48 10 1990 CentPhoenix
140000 AZ 0.31 8040 Poor 0 22 14 1990 CentPhoenix
1050000 AZ 1.4 47500 Good 50 4 50 1990 CentPhoenix
4500000 AZ 9.5 133308 Good 280 17 280 1990 CentPhoenix
350000 AZ 0.93 11200 Average . 22 14 1990 CentPhoenix
151000 AZ 0.56 12496 Average 0 13 16 1990 CentPhoenix
400000 AZ 0.81 18150 Average 18 40 33 1997 CentPhoenix
395000 AZ 1.46 21268 Average 0 19 24 1990 CentPhoenix
1650000 AZ 3.3 86026 Average 0 17 140 1990 CentPhoenix
300000 AZ 0.455 11200 Average 0 37 18 1996 CentPhoenix
430000 AZ 1.37 18700 Average 18 16 22 1997 CentPhoenix
3200000 AZ 3.71 74612 Average 95 28 68 1997 CentPhoenix
165000 AZ 2.858 5394 Average 0 46 6 1995 CentPhoenix
137000 AZ 0.35 5704 Fair 0 19 8 1990 CentPhoenix
340000 AZ 0.32 9800 Fair 0 36 23 1990 CentPhoenix
453500 AZ 0.779 19106 Fair 22 33 22 1996 CentPhoenix
495000 AZ 1.883 19455 Fair 0 53 34 1997 CentPhoenix
137137 AZ 0.23 4951 Poor 2 79 8 1990 CentPhoenix
239500 AZ 0.57 8300 Poor 0 50 12 1990 CentPhoenix
119000 AZ 0.13 3444 Poor 0 64 8 1990 CentPhoenix
130000 AZ 0.42 7776 Average 0 6 12 1990 CentPhoenix
215000 AZ 0.581 13000 Average 0 11 20 1993 CentPhoenix
460000 AZ 0.622 20830 Average 0 16 30 1997 CentPhoenix
1075000 AZ 1.978 61650 Average 0 17 63 1991 CentPhoenix
1125000 AZ 2.242 66000 Average 0 6 96 1991 CentPhoenix
2513483 AZ 3.58 91600 Average 95 4 104 1990 CentPhoenix
822500 AZ 1.185 27914 Average 34 11 34 1996 CentPhoenix
3392594 AZ 4.491 74476 Average 0 13 108 1995 CentPhoenix
3300000 AZ 4.782 119450 Average 62 11 199 1993 CentPhoenix
1000000 AZ 2.32 53980 Average 30 6 76 1990 CentPhoenix
2700000 AZ 7.43 167424 Fair 188 17 210 1990 CentPhoenix
148000 AZ 0.507 3578 Average 0 46 12 1991 CentPhoenix
120000 AZ 1.07 4659 Average 0 60 11 1990 CentPhoenix
110000 AZ 0.41 3400 Fair 2 10 5 1990 CentPhoenix
240000 AZ 1.134 5925 Average 6 48 8 1996 CentPhoenix
275000 AZ 0.512 6920 Good 0 13 8 1996 CentPhoenix
172778 AZ 0.327 3869 Average 0 49 5 1996 CentPhoenix
262500 AZ 0.517 5740 Average 8 35 10 1997 CentPhoenix
375000 AZ 1.059 13150 Average 16 31 16 1996 CentPhoenix
572125 AZ 1.47 20957 Average 8 38 31 1996 CentPhoenix
707000 AZ 1.332 25798 Average 25 32 26 1996 CentPhoenix
209000 AZ 0.406 5782 Average 0 46 6 1996 CentPhoenix
550000 AZ 0.784 22546 Average 26 27 26 1994 CentPhoenix
275000 AZ 0.56 12200 Average 0 13 15 1996 CentPhoenix
1050000 AZ 1.954 49220 Average 0 33 55 1996 CentPhoenix
760000 AZ 1.39 18426 Average 24 30 31 1996 CentPhoenix
2015000 AZ 6.631 138025 Fair 84 32 182 1991 CentPhoenix
160000 AZ 0.711 6096 Fair 0 34 14 1994 CentPhoenix
180000 AZ 0.349 7200 Average 0 33 12 1993 CentPhoenix
105000 AZ 0.567 3755 Average 0 20 6 1993 CentPhoenix
190000 AZ 0.355 4004 Average 4 36 5 1994 CentPhoenix
210000 AZ 0.455 4060 Average 2 19 6 1993 CentPhoenix
110000 AZ 0.525 4184 Average 0 24 5 1993 CentPhoenix
110000 AZ 0.408 4513 Average 0 33 6 1993 CentPhoenix
245000 AZ 0.41 5190 Average 8 37 6 1996 CentPhoenix
125000 AZ 0.631 5790 Average 0 28 6 1991 CentPhoenix
255000 AZ 0.543 6200 Average 8 37 8 1996 CentPhoenix
203316 AZ 0.356 6704 Average 0 33 10 1991 CentPhoenix
165000 AZ 0.416 7000 Average 0 45 10 1992 CentPhoenix
122400 AZ 0.43 8154 Average 0 5 18 1991 CentPhoenix
322500 AZ 0.604 8200 Average 10 40 12 1997 CentPhoenix
172500 AZ 0.888 8307 Average 0 47 10 1993 CentPhoenix
250000 AZ 1.461 9500 Average 0 46 17 1996 CentPhoenix
290000 AZ 1.482 10650 Average 3 22 10 1993 CentPhoenix
296000 AZ 0.781 11409 Average 0 29 12 1993 CentPhoenix
354325 AZ 1.122 17728 Average 0 48 14 1997 CentPhoenix
485000 AZ 0.928 17829 Average 19 36 21 1994 CentPhoenix
275000 AZ 0.935 21306 Average 0 31 28 1991 CentPhoenix
481000 AZ 2.139 26050 Average 0 23 32 1992 CentPhoenix
600000 AZ 1.895 16300 Average 16 34 26 1992 CentPhoenix
230000 AZ 0.746 9568 Average 12 33 11 1993 CentPhoenix
295000 AZ 0.95 10200 Average 14 36 15 1993 CentPhoenix
163000 AZ 0.593 7208 Average . 37 9 1994 CentPhoenix
415000 AZ 0.955 11500 Average 15 35 14 1997 CentPhoenix
690000 AZ 1.025 23560 Average 0 25 60 1993 CentPhoenix
203900 AZ 1.13 11815 Average 14 29 13 1992 CentPhoenix
165000 AZ 0.4 7200 Average 0 31 12 1991 CentPhoenix
105000 AZ 0.362 5788 Average 0 38 8 1993 CentPhoenix
285000 AZ 1.272 12832 Average 0 29 16 1997 CentPhoenix
635000 AZ 0.931 16520 Average 26 14 26 1997 CentPhoenix
178000 AZ 0.148 3890 Average 0 10 5 1995 CentPhoenix
110000 AZ 0.416 4860 Average 0 29 6 1992 CentPhoenix
100000 AZ 0.42 4186 Average 0 32 6 1992 CentPhoenix
229000 AZ 0.333 6704 Average 0 38 10 1996 CentPhoenix
195000 AZ 0.905 7318 Average 0 35 9 1993 CentPhoenix
2337000 AZ 8.65 101040 Average 58 24 123 1996 CentPhoenix
136001 AZ 0.566 6494 Fair 0 22 10 1991 CentPhoenix
154670 AZ 0.501 6720 Fair 2 64 11 1990 CentPhoenix
150000 AZ 0.714 8366 Fair 0 24 13 1996 CentPhoenix
745000 AZ 1.157 29988 Fair 28 35 26 1997 CentPhoenix
145000 AZ 0.434 11980 Fair 0 30 21 1993 CentPhoenix
750000 AZ 1.508 25344 Fair 32 12 32 1997 CentPhoenix
230000 AZ 0.884 8606 Fair 0 39 14 1996 CentPhoenix
370500 AZ 0.909 18500 Fair 0 40 39 1991 CentPhoenix
162656 AZ 0.325 5001 Fair 0 53 8 1993 CentPhoenix
480000 AZ 1.266 27200 Good 0 9 40 1991 CentPhoenix
210000 AZ 0.657 9207 Good 0 20 11 1991 CentPhoenix
220000 AZ 0.477 7350 Average 0 13 10 1996 CentPhoenix
143000 AZ 0.358 4779 Average 0 32 7 1991 CentPhoenix
201312 AZ 1.082 8122 Average 8 36 8 1991 CentPhoenix
550000 AZ 1.82 22400 Average 38 23 28 1991 CentPhoenix
576000 AZ 1.223 33600 Average 0 8 48 1991 CentPhoenix
1254000 AZ 4.651 56640 Average 0 24 80 1996 CentPhoenix
625000 AZ 2.578 50425 Average 32 8 55 1993 CentPhoenix
155000 AZ 0.5 4378 Average 5 40 6 1991 CentPhoenix
190000 AZ 1.02 10500 Fair 0 15 15 1993 CentPhoenix
540000 AZ 2.898 27178 Fair 0 47 35 1997 CentPhoenix
365000 AZ 0.756 12800 Fair 15 10 16 1997 CentPhoenix
