"Fatal","Year","DOW","Hour","Mod_year","Height","Weight","DWI","Age","Car.Type","Day","Drugs","Drink","Light","Month","Belt","Route","Sex","Speed.Related","Speed.Limit","Road.Conditions","Road.Type","Distracted"
1,2012,7,15,2002,65,145,0,51,"Small Truck",14,"Yes (drugs involved)","Yes","Daylight","January","Shoulder and Lap Belt Used","State Highway","Female","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
0,2012,7,16,1998,73,200,0,46,"Small Truck",14,"No (drugs not involved)","Yes","Daylight","January","Shoulder and Lap Belt Used","County Road","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,7,19,2008,74,225,0,57,"Motorcycle",14,"No (drugs not involved)","No","Dark - Not Lighted","January","DOT-Helmet","Interstate","Male","Yes",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
0,2012,7,19,2004,78,250,0,46,"Small Truck",14,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","County Road","Male","Unknown",35,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,1,19,2000,67,160,0,29,"2-Door Sedan",15,"Unknown","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","Yes",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,5,9,1991,70,275,0,63,"Jeep",19,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Male","Yes",55,"Wet","Two-Way, Not Divided","Not Distracted"
1,2012,2,14,2009,69,125,0,19,"4-Door Sedan",23,"Unknown","No","Daylight","January","None Used-Motor Vehicle Occupant","County Road","Female","Yes",35,"Wet","Two-Way, Not Divided","Unknown"
1,2012,3,22,1990,68,180,1,46,"Large Van",24,"No (drugs not involved)","No","Dark - Lighted","January","None Used-Motor Vehicle Occupant","Local Street - Municipality","Male","Yes",35,"Dry","Two-Way, Not Divided","Unknown"
0,2012,4,19,2006,70,190,0,22,"Standard Truck",25,"No (drugs not involved)","No","Dark - Lighted","January","Shoulder and Lap Belt Used","County Road","Male","No",35,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
1,2012,4,21,2004,69,170,0,24,"4-Door Sedan",25,"Unknown","No","Dark - Lighted","January","Shoulder and Lap Belt Used","County Road","Female","Yes",45,"Dry","Two-Way, Not Divided","Unknown"
1,2012,6,15,1999,62,125,0,20,"Jeep",27,"No (drugs not involved)","No","Daylight","January","None Used-Motor Vehicle Occupant","Interstate","Female","Yes",70,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,6,19,2006,62,120,0,28,"4-Door Sedan",27,"No (drugs not involved)","Yes","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","County Road","Female","Unknown",55,"Dry","Two-Way, Not Divided","Unknown"
0,2012,6,17,1997,73,175,0,26,"Jeep",27,"No (drugs not involved)","Yes","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","Yes",55,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,7,17,1997,68,150,0,18,"2-Door Sedan",28,"No (drugs not involved)","No","Dusk","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",40,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,2,22,1993,70,165,0,64,"2-Door Sedan",23,"Unknown","Yes","Dark - Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","Yes",35,"Dry","Two-Way, Not Divided","Unknown"
1,2012,3,13,2007,68,150,0,72,"4-Door Sedan",24,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Female","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
0,2012,7,19,2006,65,160,0,40,"4-Door Sedan",14,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","Interstate","Male","Yes",70,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,2,16,2004,70,280,0,55,"Standard Truck",16,"Unknown","No","Daylight","January","Shoulder and Lap Belt Used","Interstate","Male","No",55,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,1,1,2012,72,165,1,25,"Motorcycle",29,"Unknown","Yes","Dark - Lighted","January","Other Helmet","U.S. Highway","Male","Yes",55,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
0,2012,7,3,2002,69,200,0,31,"4-Door Sedan",4,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","Interstate","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Distracted"
0,2012,7,18,1996,61,120,0,16,"Convertible",4,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","County Road","Male","Yes",55,"Dry","Two-Way, Not Divided","Distracted"
1,2012,7,22,2002,71,160,0,42,"Motorcycle",4,"Unknown","Yes","Dark - Lighted","February","Other Helmet","State Highway","Male","Yes",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,6,16,1996,60,122,0,53,"Jeep",13,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Female","No",65,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,4,19,2009,64,118,0,37,"4-Door Sedan",18,"Unknown","No","Dark - Lighted","January","None Used-Motor Vehicle Occupant","Local Street - Municipality","Female","Yes",35,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
1,2012,5,5,2004,68,180,0,52,"4-Door Sedan",19,"Unknown","No","Dawn","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",35,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
0,2012,5,22,1999,71,258,0,43,"Truck-Tractor",19,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","Interstate","Male","No",55,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,1,11,1999,65,150,0,56,"Minivan",29,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","County Road","Female","No",55,"Dry","Two-Way, Not Divided","Distracted"
1,2012,3,18,1996,72,250,0,39,"Motorcycle",31,"No (drugs not involved)","Yes","Dark - Not Lighted","January","Unknown","County Road","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,14,1999,67,200,0,63,"Motorcycle",22,"Unknown","No","Daylight","January","Other Helmet","County Road","Male","Yes",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,7,19,2007,71,205,0,55,"Minivan",7,"Yes (drugs involved)","No","Dark - Lighted","January","Shoulder and Lap Belt Used","Interstate","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,6,8,1980,70,230,0,54,"Standard Truck",20,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","County Road","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,6,18,2005,60,110,0,26,"Small Truck",20,"No (drugs not involved)","No","Dark - Lighted","January","Shoulder and Lap Belt Used","County Road","Female","No",45,"Wet","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
1,2012,2,8,1990,67,156,0,66,"4-Door Sedan",16,"No (drugs not involved)","No","Daylight","January","Shoulder Belt Only Used","U.S. Highway","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
1,2012,7,14,2011,69,148,0,21,"Standard Truck",14,"Unknown","Yes","Daylight","January","None Used-Motor Vehicle Occupant","County Road","Male","Yes",25,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,7,15,2005,71,185,0,56,"4-Door Sedan",21,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","State Highway","Male","No",45,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,7,17,2008,68,140,0,24,"Motorcycle",21,"No (drugs not involved)","No","Dark - Not Lighted","January","Other Helmet","County Road","Male","Yes",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,7,17,1998,67,175,0,28,"4-Door Sedan",21,"Unknown","Yes","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","State Highway","Male","Yes",70,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
0,2012,4,6,2005,69,160,0,32,"2-Door Sedan",25,"No (drugs not involved)","No","Daylight","January","Shoulder and Lap Belt Used","Interstate","Male","Yes",55,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,4,11,2006,70,160,1,23,"4-Door Sedan",25,"No (drugs not involved)","Yes","Daylight","January","Unknown","State Highway","Male","No",50,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,7,19,2001,73,200,0,50,"4-Door Sedan",14,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","Yes",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,1,5,2004,67,155,0,20,"2-Door Sedan",15,"No (drugs not involved)","Yes","Dark - Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","Unknown",45,"Dry","Two-Way, Not Divided","Unknown"
1,2012,2,3,2012,73,180,0,52,"4-Door Sedan",30,"Unknown","No","Dark - Lighted","January","Not Reported","Local Street - Municipality","Male","Yes",25,"Dry","Two-Way, Not Divided","Distracted"
1,2012,6,10,2005,59,125,0,22,"4-Door Sedan",10,"Yes (drugs involved)","No","Daylight","February","Shoulder and Lap Belt Used","State Highway","Female","No",55,"Dry","Two-Way, Not Divided","Unknown"
0,2012,6,12,2001,65,158,0,73,"4-Door Sedan",10,"No (drugs not involved)","No","Daylight","February","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",45,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,6,16,1992,67,130,0,22,"2-Door Sedan",10,"Unknown","No","Daylight","February","None Used-Motor Vehicle Occupant","County Road","Male","No",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,6,18,2007,70,160,0,59,"Small Truck",10,"No (drugs not involved)","Yes","Dark - Lighted","February","Shoulder and Lap Belt Used","Local Street - Municipality","Male","Yes",35,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Unknown"
0,2012,6,19,2002,73,155,0,35,"Small Truck",10,"No (drugs not involved)","No","Dark - Lighted","February","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",50,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,7,5,1999,67,170,0,24,"Jeep",14,"Unknown","Yes","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","County Road","Male","Unknown",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,7,2,2011,62,140,0,38,"4-Door Sedan",28,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","Interstate","Female","No",70,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,1,1,2000,65,130,0,20,"2-Door Sedan",5,"Unknown","Yes","Dark - Not Lighted","February","None Used-Motor Vehicle Occupant","State Highway","Male","Yes",40,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,15,1995,72,205,0,50,"Small Truck",5,"No (drugs not involved)","Yes","Daylight","February","None Used-Motor Vehicle Occupant","County Road","Male","Yes",35,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,19,2002,71,130,0,24,"Small Truck",5,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","State Highway","Male","Unknown",55,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,1,20,1997,68,240,0,38,"Jeep",5,"No (drugs not involved)","No","Dark - Lighted","February","Not Applicable","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Distracted"
1,2012,1,21,2000,68,235,0,39,"2-Door Sedan",5,"Unknown","Yes","Dark - Not Lighted","February","Shoulder and Lap Belt Used","County Road","Male","Yes",55,"Dry","Two-Way, Not Divided","Unknown"
1,2012,3,14,2008,72,180,0,52,"2-Door Sedan",7,"No (drugs not involved)","No","Daylight","February","Shoulder and Lap Belt Used","County Road","Male","No",45,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
0,2012,4,20,2003,64,155,0,82,"Small Truck",8,"Unknown","No","Dark - Lighted","February","Shoulder and Lap Belt Used","County Road","Female","No",45,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,5,7,2003,68,175,0,39,"Small Truck",9,"No (drugs not involved)","No","Daylight","February","Shoulder and Lap Belt Used","Local Street - Municipality","Male","Yes",30,"Dry","Two-Way, Not Divided","Distracted"
0,2012,1,21,2004,63,175,0,24,"Minivan",22,"Yes (drugs involved)","Yes","Dark - Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Female","Yes",40,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Distracted"
0,2012,2,4,1998,69,165,0,31,"4-Door Sedan",23,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,15,2005,69,210,0,48,"Motorcycle",29,"No (drugs not involved)","No","Daylight","January","Other Helmet","Interstate","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
0,2012,2,18,2002,66,160,0,65,"4-Door Sedan",30,"No (drugs not involved)","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
0,2012,4,16,2001,69,155,0,78,"4-Door Sedan",1,"No (drugs not involved)","No","Daylight","February","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",35,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,5,19,1994,72,170,0,42,"Standard Truck",2,"No (drugs not involved)","No","Dark - Lighted","February","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",35,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,7,18,2007,73,170,0,39,"Standard Truck",14,"Unknown","No","Dark - Not Lighted","January","None Used-Motor Vehicle Occupant","State Highway","Male","Yes",45,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,7,0,1999,74,250,0,47,"Small Truck",4,"Unknown","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","U.S. Highway","Male","Unknown",65,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Unknown"
1,2012,2,17,2005,72,180,0,60,"Motorcycle",6,"Unknown","No","Daylight","February","Other Helmet","County Road","Male","Yes",25,"Dry","Two-Way, Not Divided","Unknown"
0,2012,2,19,2012,73,195,0,61,"Other",6,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","State Highway","Male","No",65,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,3,7,2010,70,225,0,62,"Truck-Tractor",7,"Unknown","No","Daylight","February","Unknown","U.S. Highway","Male","No",55,"Wet","Two-Way, Not Divided","Unknown"
0,2012,5,19,1996,74,320,0,46,"4-Door Sedan",9,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","State Highway","Male","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,5,3,2009,71,175,0,52,"Jeep",16,"No (drugs not involved)","No","Dark - Lighted","February","Shoulder and Lap Belt Used","U.S. Highway","Male","Yes",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Distracted"
0,2012,5,6,1995,66,150,0,20,"4-Door Sedan",16,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","State Highway","Female","No",65,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,5,18,1991,71,175,0,62,"4-Door Sedan",16,"Unknown","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","County Road","Male","No",45,"Dry","Two-Way, Not Divided","Unknown"
1,2012,6,12,2002,69,280,0,62,"Motorcycle",17,"Unknown","No","Daylight","February","No Helmet","State Highway","Male","Unknown",70,"Dry","Two-Way,  Divided, Positive  Median Barrier","Unknown"
0,2012,1,1,2009,70,161,0,23,"2-Door Sedan",29,"No (drugs not involved)","Yes","Dark - Lighted","January","Shoulder and Lap Belt Used","State Highway","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,3,2,2005,67,152,0,19,"4-Door Sedan",31,"Unknown","No","Dark - Not Lighted","January","Shoulder and Lap Belt Used","County Road","Male","Yes",40,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,6,16,2007,60,150,0,74,"4-Door Sedan",24,"No (drugs not involved)","No","Daylight","February","Shoulder and Lap Belt Used","County Road","Female","No",55,"Dry","Two-Way, Not Divided","Not Distracted"
0,2012,6,19,2003,68,180,0,35,"4-Door Sedan",24,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","State Highway","Male","No",45,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,6,23,2008,69,245,0,43,"4-Door Sedan",24,"Yes (drugs involved)","Yes","Dark - Lighted","February","None Used-Motor Vehicle Occupant","Local Street - Municipality","Male","Yes",25,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,6,9,2001,63,130,0,81,"4-Door Sedan",3,"Unknown","No","Daylight","February","Shoulder and Lap Belt Used","State Highway","Female","No",45,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Not Distracted"
1,2012,6,20,2010,72,170,0,44,"Motorcycle",3,"No (drugs not involved)","Yes","Daylight","February","Other Helmet","Local Street - Municipality","Female","Yes",35,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
0,2012,6,18,2004,68,230,0,56,"Standard Truck",6,"No (drugs not involved)","No","Dark - Lighted","January","Shoulder and Lap Belt Used","Local Street - Municipality","Male","No",35,"Dry","Two-Way, Not Divided","Not Distracted"
1,2012,1,12,2010,70,165,0,52,"Motorcycle",12,"No (drugs not involved)","Yes","Daylight","February","Other Helmet","Local Street - Municipality","Male","Yes",35,"Dry","Two-Way, Not Divided With a Continuous Left-Turn Lane","Not Distracted"
1,2012,1,16,2006,70,155,0,55,"4-Door Sedan",12,"Unknown","No","Daylight","February","Shoulder and Lap Belt Used","Interstate","Male","No",65,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
1,2012,6,19,2001,71,205,0,55,"Motorcycle",17,"Unknown","No","Dark - Not Lighted","February","Other Helmet","Local Street - Municipality","Male","Yes",40,"Dry","Two-Way,  Divided, Unprotected (Painted > 4 Feet ) Median","Unknown"
1,2012,6,20,1990,72,195,1,60,"4-Door Sedan",17,"No (drugs not involved)","Yes","Dark - Not Lighted","February","Shoulder Belt Only Used","County Road","Male","Unknown",35,"Dry","Two-Way, Not Divided","Unknown"
0,2012,7,2,2007,68,200,0,36,"Truck-Tractor",18,"No (drugs not involved)","No","Dark - Not Lighted","February","Shoulder and Lap Belt Used","Interstate","Male","No",55,"Dry","Two-Way,  Divided, Positive  Median Barrier","Not Distracted"
