Number,Year,Month,Day,Date,Time,State,Fscale,Injuries,Fatalities,Loss,CropLoss,StartLat,StartLon,EndLat,EndLon,Length,Width
356524,2012,1,22,1/22/12,22:18:00,IL,2,0,0,0.25,0,38.0331,-88.3652,38.2334,-88.1524,18.03,100
356944,2012,1,22,1/22/12,22:34:00,MS,2,1,0,0.7,0,34.0797,-90.7148,34.108,-90.6661,3.41,332
356527,2012,1,22,1/22/12,22:42:00,IL,1,0,0,0.03,0,38.3299,-88.0765,38.3534,-87.9681,6.09,100
361313,2012,1,22,1/22/12,23:00:00,MS,0,0,0,0.05,0,34.2617,-90.3036,34.2622,-90.2989,0.27,75
356502,2012,1,22,1/22/12,23:03:00,KY,1,0,0,0.05,0,36.5,-88.32,36.5326,-88.2268,5.64,100
361317,2012,1,22,1/22/12,23:55:00,TN,1,0,0,0.05,0,35.585,-88.3925,35.6419,-88.2692,7.97,150
356571,2012,1,23,1/23/12,0:15:00,KY,0,0,0,0.125,0,36.9858,-87.1818,36.9941,-87.1439,2.17,200
362760,2012,1,23,1/23/12,2:36:00,AL,0,0,0,0,0,32.9287,-88.2364,32.9316,-88.2312,0.36,100
362758,2012,1,23,1/23/12,2:42:00,AL,2,0,0,0,0,33.3257,-87.6579,33.3305,-87.6526,0.45,400
362778,2012,1,23,1/23/12,3:00:00,AL,2,0,0,0,0,33.3961,-87.444,33.4038,-87.4395,0.56,300
362779,2012,1,23,1/23/12,3:09:00,AL,2,1,1,0,0,33.4316,-87.3071,33.529,-87.1405,13.13,880
363567,2012,1,23,1/23/12,3:21:00,AL,0,0,0,0,0,32.6567,-88.1705,32.6718,-88.1639,1.1,50
364295,2012,1,23,1/23/12,3:58:00,AL,3,75,1,0,0,33.6228,-86.7411,33.7197,-86.4963,15.69,800
363587,2012,1,23,1/23/12,4:33:00,AL,1,0,0,0,0,32.7068,-87.3096,32.7216,-87.2786,2.1,300
364350,2012,1,23,1/23/12,4:37:00,AL,2,0,0,0,0,32.7159,-87.2748,32.8764,-86.6322,39.77,880
363575,2012,1,23,1/23/12,5:35:00,AL,0,0,0,0,0,33.2957,-86.2951,33.3219,-86.2091,5.4,50
363581,2012,1,23,1/23/12,6:36:00,AL,1,0,0,0,0,32.7288,-86.6329,32.7657,-86.5886,3.63,500
363584,2012,1,23,1/23/12,7:48:00,AL,1,0,0,0,0,32.5209,-86.4119,32.5309,-86.3437,4.02,200
355179,2012,1,24,1/24/12,23:30:00,TX,0,0,0,0,0,30.0675,-100.398,30.0893,-100.354,3.01,10
355177,2012,1,25,1/25/12,2:58:00,TX,1,0,0,0,0,30.3221,-97.6536,30.3381,-97.6551,1.11,50
355176,2012,1,25,1/25/12,4:15:00,TX,0,0,0,0,0,29.4556,-98.6645,29.4545,-98.6603,0.26,30
363533,2012,1,25,1/25/12,5:30:00,TX,0,0,0,0.005,0,29.8544,-97.3407,29.8874,-97.3118,2.86,30
361941,2012,1,25,1/25/12,6:43:00,TX,1,0,0,0.2,0,30.4506,-96.73,30.4566,-96.6929,2.25,50
361947,2012,1,25,1/25/12,7:17:00,TX,0,0,0,0.03,0,30.2318,-96.3729,30.2484,-96.3443,2.06,50
361953,2012,1,25,1/25/12,8:00:00,TX,0,0,0,0.01,0.005,30.9667,-95.9702,30.9726,-95.9665,0.46,50
361971,2012,1,25,1/25/12,9:06:00,TX,0,0,0,0.05,0,30.7241,-95.5765,30.7279,-95.5722,0.37,50
361973,2012,1,25,1/25/12,9:09:00,TX,0,0,0,0.03,0.03,30.7247,-95.5659,30.7272,-95.564,0.2,25
355037,2012,1,25,1/25/12,10:32:00,TX,1,1,0,0.1,0,31.912,-94.692,31.922,-94.67,1.46,175
355112,2012,1,25,1/25/12,10:47:00,TX,0,0,0,0,0,32.006,-94.632,32.049,-94.533,6.52,100
361991,2012,1,25,1/25/12,12:05:00,TX,0,0,0,0.015,0,29.5691,-95.2846,29.5668,-95.2867,0.2,75
355654,2012,1,25,1/25/12,12:10:00,TX,0,0,0,0.01,0,30.46,-94.43,30.466,-94.388,2.53,25
355656,2012,1,25,1/25/12,12:28:00,TX,0,0,0,0.02,0,30.5388,-94.1903,30.5389,-94.1843,0.36,10
355658,2012,1,25,1/25/12,12:45:00,TX,0,0,0,0.005,0,30.75,-94.02,30.7536,-94.0032,1.03,20
355657,2012,1,25,1/25/12,12:57:00,TX,1,0,0,0.05,0,30.6494,-93.9221,30.6571,-93.8968,1.59,25
355659,2012,1,25,1/25/12,13:33:00,LA,0,0,0,0.02,0,31.1,-93.54,31.1084,-93.4887,3.09,25
355047,2012,1,25,1/25/12,14:01:00,LA,0,0,0,0.05,0,31.428,-93.317,31.413,-93.282,2.31,150
355660,2012,1,25,1/25/12,14:14:00,LA,0,0,0,0.02,0,31,-93.19,31.0126,-93.1677,1.58,40
355670,2012,1,25,1/25/12,15:02:00,LA,0,0,0,0.05,0,31.14,-92.73,31.1403,-92.6998,1.79,20
355668,2012,1,25,1/25/12,15:15:00,LA,0,0,0,0.04,0,31.33,-92.72,31.3383,-92.7087,0.88,20
355672,2012,1,25,1/25/12,15:52:00,LA,0,0,0,0.1,0,31.27,-92.33,31.2738,-92.3075,1.35,25
355698,2012,1,25,1/25/12,16:27:00,LA,1,0,0,0.1,0,30.26,-93.31,30.3097,-93.2316,5.8,25
356064,2012,1,25,1/25/12,18:21:00,LA,0,0,0,0.01,0,29.7179,-92.7626,29.7188,-92.761,0.12,10
357492,2012,1,25,1/25/12,18:49:00,MS,1,0,0,0.01,0,31.74,-90.22,31.7769,-90.1905,3.08,350
356069,2012,1,25,1/25/12,19:58:00,LA,0,0,0,0.075,0,30.2286,-92.1415,30.2302,-92.1399,0.15,10
355031,2012,1,26,1/26/12,6:44:00,MS,0,0,0,0.01,0,30.9895,-89.5605,30.9911,-89.5594,0.1,100
355030,2012,1,26,1/26/12,7:25:00,LA,0,0,0,0.01,0,29.3038,-89.3808,29.3072,-89.38,0.24,30
360343,2012,1,26,1/26/12,9:35:00,AL,0,0,0,0.007,0,31.7619,-88.417,31.7668,-88.4142,0.38,80
357706,2012,1,26,1/26/12,11:00:00,AL,0,0,0,0,0,32.4383,-87.4989,32.4441,-87.4916,0.6,100
360680,2012,1,27,1/27/12,4:35:00,FL,1,0,0,0.03,0,26.998,-82.028,27.002,-82.018,0.75,20
356063,2012,2,1,2/1/12,0:30:00,LA,0,0,0,0.02,0,30.64,-92.83,30.6384,-92.7674,3.73,20
365066,2012,2,1,2/1/12,20:14:00,MS,0,0,0,0.025,0,33.9735,-88.2286,33.9746,-88.227,0.12,25
366541,2012,2,3,2/3/12,0:42:00,TX,1,0,0,0.25,0,35.55,-100.7,35.65,-100.51,12.67,100
367124,2012,2,3,2/3/12,18:45:00,TX,1,0,0,0.15,0,30.49,-96.47,30.498,-96.4584,0.76,75
367125,2012,2,3,2/3/12,18:48:00,TX,2,0,0,0.5,0,30.522,-96.4313,30.5271,-96.4252,0.51,100
356060,2012,2,4,2/4/12,7:59:00,LA,1,0,0,0.1,0,30.7954,-93.3441,30.8039,-93.2717,4.33,20
357889,2012,2,18,2/18/12,8:52:00,LA,0,0,0,0.022,0,30.0241,-92.6377,30.0278,-92.5969,2.45,20
365156,2012,2,22,2/22/12,21:12:00,GA,1,0,0,1.6,0,34.2588,-85.1454,34.2537,-85.0879,3.3,75
358537,2012,2,24,2/24/12,12:07:00,SC,2,0,0,0.3,0,33.7063,-81.3797,33.7222,-81.221,9.19,150
358357,2012,2,24,2/24/12,12:42:00,GA,0,0,0,0.02,0,31.299,-83.577,31.317,-83.517,3.75,50
358539,2012,2,24,2/24/12,12:51:00,SC,0,0,0,0.01,0,33.7026,-80.537,33.7375,-80.4653,4.77,50
364837,2012,2,24,2/24/12,16:09:00,SC,1,0,0,0.125,0,32.8819,-80.8933,32.8875,-80.8681,2,150
366404,2012,2,24,2/24/12,17:25:00,VA,0,0,0,0.02,0,37.3337,-76.3012,37.3356,-76.2878,0.75,50
360438,2012,2,28,2/28/12,16:13:00,NE,0,0,0,0.01,0,41.3836,-100.565,41.42,-100.534,2.99,20
360696,2012,2,28,2/28/12,17:28:00,KS,0,0,0,0.035,0,39.5788,-97.9836,39.5968,-97.9459,2.36,50
359095,2012,2,28,2/28/12,17:36:00,KS,0,0,0,0,0,39.6189,-97.9322,39.6407,-97.9151,1.76,75
359100,2012,2,28,2/28/12,18:05:00,KS,0,0,0,0,0,39.7876,-97.6795,39.8395,-97.586,6.12,100
359047,2012,2,28,2/28/12,18:43:00,KS,0,0,0,0.03,0,37.9217,-98.0237,37.9336,-98.0071,1.22,50
359048,2012,2,28,2/28/12,18:47:00,KS,0,0,0,0,0,37.9385,-98.0039,37.946,-97.9943,0.73,50
360701,2012,2,28,2/28/12,19:00:00,NE,0,0,0,0.05,0,41.55,-98.6074,41.5503,-98.602,0.28,25
359049,2012,2,28,2/28/12,19:17:00,KS,0,0,0,0.015,0,38.1828,-97.5105,38.2052,-97.4795,2.29,50
359087,2012,2,28,2/28/12,21:02:00,KS,2,12,1,0,0,38.7815,-95.9822,38.8125,-95.8903,5.4,150
359083,2012,2,28,2/28/12,22:06:00,KS,1,0,0,0,0,38.7238,-95.4142,38.761,-95.3389,4.8,100
363338,2012,2,28,2/28/12,22:52:00,MO,1,0,0,0.25,0,37.3908,-94.5557,37.5082,-94.3,16,200
363339,2012,2,28,2/28/12,23:26:00,MO,1,0,0,0.25,0,37.4533,-93.8529,37.537,-93.5303,18.38,100
364185,2012,2,28,2/28/12,23:58:00,MO,2,12,1,0.65,0,37.55,-93.1902,37.6306,-93.05,9.5,100
364183,2012,2,29,2/29/12,0:18:00,MO,1,5,0,0.75,0,37.5933,-92.8139,37.673,-92.6422,11,150
364184,2012,2,29,2/29/12,0:22:00,MO,1,0,0,0.5,0,37.7125,-92.8359,37.7129,-92.8299,0.25,75
363341,2012,2,29,2/29/12,0:42:00,MO,2,4,1,0.575,0,36.6994,-93.9178,36.7053,-93.8869,1.7,400
364189,2012,2,29,2/29/12,1:06:00,MO,1,0,0,0,0,37.708,-91.877,37.8158,-91.5628,18,75
364194,2012,2,29,2/29/12,1:13:00,MO,2,47,0,20.5,0,36.6223,-93.46,36.6584,-93.0241,24.29,400
365575,2012,2,29,2/29/12,2:55:00,MO,2,1,0,0.1,0,37.3983,-90.5331,37.5089,-89.8863,31.88,800
368234,2012,2,29,2/29/12,3:34:00,MO,2,0,0,0.17,0,37.4689,-89.9047,37.481,-89.766,7.66,120
359708,2012,2,29,2/29/12,3:47:00,MO,2,1,0,0.15,0,37.5,-89.73,37.5555,-89.5207,12.09,300
359708,2012,2,29,2/29/12,3:47:00,MO,2,1,0,0.35,0,37.5,-89.73,37.611,-89.1668,31.87,300
359709,2012,2,29,2/29/12,4:00:00,MO,3,0,1,0.15,0,36.9,-90.1891,37.03,-89.8663,19.96,700
359708,2012,2,29,2/29/12,4:00:00,IL,2,0,0,0.2,0,37.5555,-89.5207,37.611,-89.1668,19.78,300
359710,2012,2,29,2/29/12,4:24:00,MO,1,0,0,0.25,0,37.03,-89.8119,37.0693,-89.5315,15.7,75
359690,2012,2,29,2/29/12,4:26:00,IL,2,0,0,0.1,0,37.63,-89.05,37.6719,-88.7826,14.91,300
359691,2012,2,29,2/29/12,4:51:00,IL,4,108,8,2,0,37.6945,-88.65,37.7996,-88.1926,26.09,325
359692,2012,2,29,2/29/12,5:00:00,IL,2,0,0,0.05,0,37.11,-89.2,37.1828,-88.7431,8.41,150
359692,2012,2,29,2/29/12,5:00:00,IL,2,5,0,0.3,0,37.11,-89.2,37.1828,-88.7431,25.12,150
359692,2012,2,29,2/29/12,5:07:00,KY,2,5,0,0.25,0,37.1439,-89.0991,37.173,-88.7846,16.71,150
359783,2012,2,29,2/29/12,5:57:00,KY,1,2,0,0.08,0,37.9073,-87.545,37.9077,-87.5213,1.29,150
359701,2012,2,29,2/29/12,6:03:00,IN,1,0,0,0.25,0,37.9434,-87.4148,37.946,-87.3715,2.36,150
359737,2012,2,29,2/29/12,6:40:00,KY,0,0,0,0.01,0,37.3434,-87.493,37.3469,-87.4842,0.49,30
359735,2012,2,29,2/29/12,8:45:00,KY,2,1,0,0.1,0,37.2015,-87.1722,37.2473,-87.0914,5.46,200
359779,2012,2,29,2/29/12,8:45:00,KY,1,0,0,0.03,0,37.1984,-87.1882,37.1988,-87.1864,0.1,30
359078,2012,2,29,2/29/12,8:55:00,KY,2,0,0,0.2,0,37.6199,-85.9034,37.6556,-85.8238,5,250
359079,2012,2,29,2/29/12,9:42:00,KY,2,1,0,0.05,0,37.4819,-86.1576,37.4858,-86.1205,2.05,200
359080,2012,2,29,2/29/12,10:05:00,KY,2,0,0,0.2,0,37.5566,-85.7672,37.5643,-85.7233,2.46,200
359081,2012,2,29,2/29/12,10:12:00,KY,2,0,0,0.02,0,37.5607,-85.7295,37.5646,-85.714,0.89,100
361724,2012,2,29,2/29/12,12:42:00,KY,2,0,0,0.1,0,37.8744,-83.3714,37.8755,-83.2556,6.32,400
359082,2012,2,29,2/29/12,12:47:00,KY,1,0,0,0.01,0,37.1343,-85.6843,37.1383,-85.6676,0.96,150
359076,2012,2,29,2/29/12,13:22:00,KY,2,0,0,0.21,0,37.1185,-85.0814,37.1175,-84.951,7.18,150
361723,2012,2,29,2/29/12,13:53:00,KY,1,0,0,0.05,0,37.1792,-84.5777,37.1805,-84.5507,1.5,60
362592,2012,2,29,2/29/12,15:46:00,TN,1,0,1,0.7,0,35.9724,-85.8529,36.017,-85.5933,14.84,200
362595,2012,2,29,2/29/12,16:02:00,TN,0,0,0,0.01,0,36.0213,-85.5298,36.0277,-85.492,2.16,50
362596,2012,2,29,2/29/12,16:30:00,TN,2,7,2,1,0,36.0887,-85.1102,36.1171,-85.0053,6.18,300
362791,2012,2,29,2/29/12,18:30:00,TN,0,0,0,0.025,0,35.6911,-84.1285,35.6879,-84.1165,0.75,100
374127,2012,2,29,2/29/12,23:32:00,VA,0,0,0,0.05,0,36.63,-82.2165,36.6305,-82.2059,0.6,70
374041,2012,3,1,3/1/12,1:05:00,TN,0,0,0,0.02,0,35.8273,-83.8022,35.8254,-83.7693,1.85,70
359464,2012,3,1,3/1/12,13:02:00,AL,1,0,0,0.05,0,31.0809,-85.6989,31.0856,-85.5863,6.67,50
359463,2012,3,1,3/1/12,13:14:00,AL,1,0,0,0.005,0,31.0814,-85.5795,31.0824,-85.5738,0.34,30
369131,2012,3,1,3/1/12,14:44:00,KY,1,0,0,1.277,0,38.661,-85.2636,38.6645,-85.2193,2.4,150
361096,2012,3,2,3/2/12,9:10:00,AL,3,0,0,0,0,34.7597,-86.9531,34.9483,-86.3994,33.99,250
361143,2012,3,2,3/2/12,10:06:00,AL,2,0,0,0,0,34.8502,-86.5702,34.8716,-86.4448,7.26,220
362962,2012,3,2,3/2/12,10:08:00,AL,1,0,0,0.01,0,34.985,-86.2552,34.9916,-86.2407,0.93,100
362962,2012,3,2,3/2/12,10:08:00,AL,1,0,0,0.005,0,34.985,-86.2552,34.9904,-86.2433,0.77,100
362962,2012,3,2,3/2/12,10:09:00,TN,0,0,0,0.005,0,34.9904,-86.2433,34.9916,-86.2407,0.16,100
369714,2012,3,2,3/2/12,10:11:00,IL,0,0,0,0,0,38.5528,-89.6933,38.553,-89.6814,0.65,50
372675,2012,3,2,3/2/12,11:15:00,TN,1,0,0,0.003,0,35.05,-85.5416,35.0491,-85.5332,0.5,100
374002,2012,3,2,3/2/12,11:41:00,TN,3,44,0,35.29,0,35.128,-85.1608,35.3126,-84.4721,41,400
393596,2012,3,2,3/2/12,12:28:00,IL,0,0,0,0.015,0,38.0378,-88.1708,38.0386,-88.1231,2.6,100
373982,2012,3,2,3/2/12,12:37:00,IN,2,0,0,0.5,0,38.083,-87.8494,38.0903,-87.7382,6.07,140
374085,2012,3,2,3/2/12,12:47:00,TN,2,3,0,5,0,35.3681,-84.3061,35.441,-84.0683,14.31,400
373987,2012,3,2,3/2/12,13:00:00,IN,0,0,0,0,0,38.0924,-87.5707,38.0968,-87.5333,2.05,50
374012,2012,3,2,3/2/12,13:38:00,KY,2,1,1,0,0,37.7451,-87.9085,37.7479,-87.7885,6.56,200
359896,2012,3,2,3/2/12,13:50:00,IN,4,0,11,58.25,0,38.4316,-86.1893,38.6346,-85.4421,41.79,800
359896,2012,3,2,3/2/12,13:50:00,IN,4,0,11,58.75,0,38.4316,-86.1893,38.6579,-85.2632,45.05,800
378445,2012,3,2,3/2/12,13:52:00,NC,0,0,0,0,0,35.536,-83.434,35.537,-83.432,0.13,40
361149,2012,3,2,3/2/12,13:55:00,AL,0,0,0,0,0,34.9155,-87.0466,34.9278,-87.0008,2.73,50
374009,2012,3,2,3/2/12,13:55:00,KY,0,0,0,0.05,0,37.7242,-87.5804,37.7335,-87.5113,3.84,100
374005,2012,3,2,3/2/12,14:06:00,KY,0,0,0,0,0,37.5108,-87.7068,37.5149,-87.6938,0.76,50
374006,2012,3,2,3/2/12,14:22:00,KY,0,0,0,0,0,37.7615,-87.0509,37.7615,-87.0509,0.25,50
359390,2012,3,2,3/2/12,14:30:00,IN,1,0,0,0.3,0,38.5154,-85.8758,38.5409,-85.7588,6.57,60
359389,2012,3,2,3/2/12,14:35:00,KY,2,0,0,0.075,0,38.6333,-85.4328,38.6452,-85.3449,4.81,200
359384,2012,3,2,3/2/12,14:38:00,KY,2,0,0,0.19,0,37.8345,-86.7814,37.857,-86.4679,16.49,200
359896,2012,3,2,3/2/12,14:41:00,KY,3,0,0,0.5,0,38.6563,-85.3236,38.6579,-85.2632,3.26,75
361151,2012,3,2,3/2/12,14:45:00,TN,0,0,0,0,0,35.2116,-86.7422,35.2117,-86.7312,0.62,50
369148,2012,3,2,3/2/12,14:52:00,IN,3,5,3,0.275,0,39.0667,-85.407,39.1127,-85.2562,8.69,350
359918,2012,3,2,3/2/12,15:01:00,KY,0,0,0,0.05,0,38.5374,-85.2893,38.5373,-85.2388,2.73,100
359386,2012,3,2,3/2/12,15:02:00,KY,0,0,0,0.002,0,37.8815,-86.2367,37.8816,-86.2248,0.65,30
360513,2012,3,2,3/2/12,15:12:00,KY,1,0,0,0,0,38.5565,-85.1058,38.557,-85.1011,0.25,40
369205,2012,3,2,3/2/12,15:23:00,KY,4,8,4,20.5,0,38.791,-84.633,38.8209,-84.4541,9.85,880
369180,2012,3,2,3/2/12,15:24:00,KY,2,3,0,0.32,0,38.6,-84.89,38.6,-84.79,5.4,150
361150,2012,3,2,3/2/12,15:26:00,AL,0,0,0,0,0,34.8564,-87.0143,34.8628,-86.927,4.97,75
361148,2012,3,2,3/2/12,15:39:00,AL,1,0,0,0,0,34.9182,-86.8581,34.919,-86.8124,2.59,150
369380,2012,3,2,3/2/12,15:39:00,KY,3,13,3,9.16,0,38.835,-84.353,38.8978,-83.9863,20.41,440
369380,2012,3,2,3/2/12,15:39:00,KY,3,0,0,3,0,38.835,-84.353,38.859,-84.2328,6.68,440
369380,2012,3,2,3/2/12,15:46:00,OH,3,13,3,6.16,0,38.859,-84.2328,38.8978,-83.9863,13.73,440
368123,2012,3,2,3/2/12,15:48:00,TN,1,0,0,0.3,0.002,36.0973,-87.1214,36.0977,-87.1101,0.63,100
369352,2012,3,2,3/2/12,16:02:00,KY,0,0,0,0.07,0,38.693,-84.17,38.694,-84.168,0.13,50
359380,2012,3,2,3/2/12,16:05:00,KY,1,0,0,0.05,0,36.8685,-86.3141,36.8706,-86.3057,0.49,60
370170,2012,3,2,3/2/12,16:25:00,OH,1,0,0,0.2,0,38.955,-83.588,38.961,-83.534,2.93,400
370272,2012,3,2,3/2/12,16:30:00,OH,0,0,0,0.03,0,38.7796,-83.5716,38.78,-83.5689,0.15,25
370174,2012,3,2,3/2/12,16:33:00,OH,2,2,1,2,0.025,38.811,-83.5182,38.8417,-83.3163,11.07,330
368695,2012,3,2,3/2/12,16:39:00,KY,3,0,0,0,0,0,0,0,0,0,0
368695,2012,3,2,3/2/12,16:39:00,KY,3,118,10,79.375,0,37.905,-83.6146,38.0334,-82.5354,59.5,1580
368695,2012,3,2,3/2/12,16:39:00,KY,3,118,10,81.475,0,37.905,-83.6146,38.1163,-82.0796,84.99,1580
370181,2012,3,2,3/2/12,16:46:00,OH,0,0,0,0.035,0,38.9581,-83.207,38.9823,-83.1365,4.14,200
370176,2012,3,2,3/2/12,16:46:00,OH,0,0,0,0.17,0.01,38.8455,-83.2138,38.8663,-83.187,2.04,100
372674,2012,3,2,3/2/12,16:52:00,TN,0,0,0,0.01,0,35.5031,-84.942,35.5165,-84.8976,2.7,75
370184,2012,3,2,3/2/12,16:53:00,OH,0,0,0,0.025,0,39.0121,-83.0978,39.0098,-83.0548,2.77,100
359465,2012,3,2,3/2/12,17:01:00,AL,0,0,0,0,0,31.31,-86.19,31.3124,-86.1827,0.46,25
368666,2012,3,2,3/2/12,17:08:00,KY,1,0,0,0.775,0,38.1367,-83.7781,38.1483,-83.6427,7.4,250
372686,2012,3,2,3/2/12,17:10:00,TN,1,0,0,0.002,0,35.0475,-85.5362,35.0471,-85.533,0.2,100
367960,2012,3,2,3/2/12,17:26:00,TN,2,20,0,2,0.01,36.2898,-85.4929,36.2695,-85.5537,3.7,880
369876,2012,3,2,3/2/12,17:31:00,TN,1,0,0,0.25,0.05,36.2898,-85.4929,36.302,-85.4673,1.65,500
369877,2012,3,2,3/2/12,17:33:00,TN,2,0,0,1,0.1,36.302,-85.4673,36.3328,-85.3504,6.94,400
368695,2012,3,2,3/2/12,17:38:00,WV,3,0,0,2.1,0,38.0334,-82.5354,38.1163,-82.0796,25.49,1000
368709,2012,3,2,3/2/12,17:50:00,KY,3,37,2,37.09,0,37.7012,-83.2745,37.8345,-82.382,49.04,1320
368709,2012,3,2,3/2/12,17:50:00,KY,3,37,2,37,0,37.7012,-83.2745,37.8326,-82.4039,47.84,1320
373989,2012,3,2,3/2/12,17:53:00,AL,1,0,0,0,0,32.0859,-86.7779,32.1824,-86.4998,17.64,400
372204,2012,3,2,3/2/12,17:56:00,TN,0,0,0,0,0.1,36.3848,-85.1045,36.4055,-85.0126,6.42,300
368708,2012,3,2,3/2/12,18:04:00,KY,2,40,6,5,0,37.1954,-84.2114,37.2358,-84.0918,7.15,310
359467,2012,3,2,3/2/12,18:17:00,AL,0,0,0,0,0,31.1271,-85.669,31.1275,-85.6679,0.07,25
368934,2012,3,2,3/2/12,18:23:00,MS,1,0,0,0.4,0,31.1077,-89.5219,31.197,-89.3491,11.94,300
366064,2012,3,2,3/2/12,18:32:00,WV,1,0,0,0.15,0,38.1468,-82.157,38.1839,-81.8659,16.02,300
368709,2012,3,2,3/2/12,18:38:00,WV,2,0,0,0.09,0,37.8326,-82.4039,37.8345,-82.382,1.2,250
370724,2012,3,2,3/2/12,18:42:00,MS,1,0,0,0.015,0,31.1967,-89.3498,31.2146,-89.3034,3.01,300
366756,2012,3,2,3/2/12,18:44:00,NC,2,0,0,2,0,35.0945,-84.2639,35.1165,-83.8853,21.5,400
365183,2012,3,2,3/2/12,19:09:00,GA,3,1,0,11.75,0,33.8681,-85.2964,33.931,-84.7965,29.02,200
366728,2012,3,2,3/2/12,19:26:00,TN,2,4,0,0.5,0,36.5827,-83.6789,36.5947,-83.6356,2.6,250
373771,2012,3,2,3/2/12,19:45:00,TN,1,0,0,0.1,0,36.5815,-83.5322,36.5972,-83.4922,2.5,200
365153,2012,3,2,3/2/12,19:50:00,VA,1,1,0,1.65,0,36.5972,-83.4922,36.6127,-83.4525,2.5,200
371844,2012,3,2,3/2/12,20:03:00,NC,0,0,0,0.05,0,35.1845,-83.187,35.184,-83.156,1.75,100
365154,2012,3,2,3/2/12,20:10:00,VA,1,0,0,0.1,0,36.6759,-83.0574,36.681,-83.0446,0.8,100
365185,2012,3,2,3/2/12,20:14:00,GA,1,0,0,0.075,0,33.9798,-84.4608,33.9799,-84.4362,1.41,150
