"Id","Model","Price","Age_08_04","Mfg_Year","Miles","Fuel_Type","HP","Color","Automatic","cc","Doors","Cylinders","Weight","Mfr_Guarantee","ABS","Airbag_1","Airbag_2","Airco","Automatic_airco","Boardcomputer","CD_Player","Powered_Windows","Power_Steering","Radio"
39,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors",21577.5,32,2002,15737,"Petrol",97,"Green",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
40,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",20207.5,27,2002,17086,"Petrol",97,"Blue",0,1400,3,4,1100,1,1,1,1,0,0,1,0,0,1,0
41,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",19111.5,22,2002,30480,"Petrol",97,"Blue",0,1400,3,4,1100,0,1,1,1,0,0,1,0,0,1,0
42,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",22947.5,27,2002,27379,"Petrol",97,"Red",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
43,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",19111.5,22,2002,29177,"Petrol",97,"Blue",0,1400,3,4,1100,1,1,1,1,0,0,1,0,0,1,0
44,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",23221.5,27,2002,68594,"Diesel",90,"Red",0,2000,5,4,1255,1,1,1,1,1,0,1,0,1,1,0
45,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",23221.5,22,2002,62285,"Diesel",90,"Red",0,2000,5,4,1255,1,1,1,1,1,0,1,0,1,1,0
46,"ÊTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors",26030,23,2002,52189,"Diesel",90,"Red",0,2000,5,4,1270,0,1,1,1,1,1,1,0,1,1,0
47,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors",24591.5,27,2002,49316,"Diesel",90,"Grey",0,2000,5,4,1255,0,1,1,1,1,0,1,1,1,1,0
48,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",21646,22,2002,46627,"Petrol",97,"Blue",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
49,"ÊTOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",24591.5,22,2002,44867,"Diesel",90,"Grey",0,2000,5,4,1255,1,1,1,1,1,0,1,0,1,1,0
50,"TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors",30071.5,31,2002,40373,"Petrol",192,"Grey",0,1800,5,4,1195,1,1,1,1,1,1,1,0,1,1,0
51,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",24591.5,22,2002,38916,"Diesel",90,"Grey",0,2000,5,4,1255,1,1,1,1,1,0,1,1,1,1,0
52,"ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",21577.5,30,2002,35468,"Petrol",97,"Grey",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
53,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors",28085,26,2002,34793,"Petrol",110,"Blue",1,1600,5,4,1180,1,1,1,1,1,1,1,1,1,1,0
54,"TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors",30071.5,27,2002,30982,"Petrol",192,"Green",0,1800,5,4,1195,0,1,1,0,1,0,0,0,1,1,1
55,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors",21235,25,2002,30545,"Petrol",110,"Green",1,1600,5,4,1165,0,1,1,1,0,0,1,1,0,1,0
56,"ÊTOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors",18152.5,32,2002,28409,"Petrol",110,"Black",0,1600,5,4,1075,1,1,1,1,1,0,1,1,1,1,0
57,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",20892.5,28,2002,26846,"Petrol",97,"Grey",0,1400,5,4,1110,0,1,1,1,1,0,1,0,1,1,0
58,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",20892.5,26,2002,26716,"Petrol",97,"Grey",0,1400,5,4,1110,1,1,1,1,1,0,1,0,1,1,0
59,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors",25961.5,23,2002,24668,"Petrol",110,"Blue",1,1600,5,4,1180,1,1,1,1,1,1,1,1,1,1,0
60,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",21918.63,30,2002,24200,"Petrol",110,"Red",0,1600,5,4,1130,0,1,1,1,1,1,1,0,1,1,0
61,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",20481.5,22,2002,23237,"Petrol",97,"Black",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
62,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",22605,27,2002,23098,"Petrol",110,"Red",0,1600,5,4,1130,0,1,1,1,1,1,1,1,1,1,0
63,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",25687.5,31,2002,22705,"Petrol",110,"Blue",0,1600,5,4,1130,1,1,1,1,1,1,1,0,1,1,0
64,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",24591.5,30,2002,20820,"Petrol",110,"Blue",0,1600,5,4,1130,1,1,1,1,1,1,1,0,1,1,0
65,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",24591.5,27,2002,20384,"Petrol",97,"Black",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
66,"TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors",23221.5,26,2002,19994,"Petrol",110,"Blue",0,1600,5,4,1075,0,1,1,0,1,1,1,1,1,1,0
67,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",25961.5,28,2002,19256,"Petrol",110,"Black",0,1600,5,4,1130,1,1,1,1,1,1,1,1,1,1,0
68,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",20481.5,22,2002,18888,"Petrol",97,"Grey",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
69,"TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors",30482.5,22,2002,18639,"Diesel",110,"Grey",0,2000,5,4,1275,1,1,1,1,1,1,1,1,1,1,0
70,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",21851.5,25,2002,18464,"Petrol",97,"Black",0,1400,5,4,1110,1,1,1,1,0,0,1,1,1,1,0
71,"ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",21851.5,28,2002,18146,"Petrol",97,"Grey",0,1400,5,4,1110,1,1,1,1,1,0,1,1,1,1,0
72,"TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors",17803.15,32,2002,18141,"Petrol",97,"Grey",0,1400,5,4,1060,1,1,1,1,1,0,1,1,1,1,0
73,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",25961.5,28,2002,17904,"Petrol",110,"Grey",0,1598,5,4,1130,1,1,1,1,1,1,0,1,1,1,0
74,"ÊTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors",21577.5,23,2002,17537,"Petrol",97,"Grey",0,1400,5,4,1110,0,1,1,1,0,0,1,1,0,1,0
75,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",27331.5,28,2002,17396,"Petrol",110,"Black",0,1600,5,4,1130,1,1,1,1,1,1,0,1,1,1,0
76,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors",23221.5,23,2002,17396,"Petrol",110,"Grey",0,1600,5,4,1115,1,1,1,1,1,0,1,1,1,1,0
77,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",25687.5,31,2002,15698,"Petrol",110,"Grey",0,1600,5,4,1130,1,1,1,1,1,1,1,1,1,1,0
78,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",25276.5,27,2002,14594,"Petrol",110,"Silver",0,1600,5,4,1115,0,1,1,1,0,0,1,0,1,1,0
79,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",23146.15,29,2002,14026,"Petrol",110,"Grey",0,1600,5,4,1115,1,1,1,1,1,0,1,1,1,1,0
80,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",20413,30,2002,13669,"Petrol",97,"Grey",0,1400,5,4,1110,1,1,1,1,0,0,1,1,1,1,0
81,"TOYOTA Corolla 1.6 5drs 1 4/5-Doors",25961.5,25,2002,12438,"Petrol",110,"Blue",1,16000,5,4,1180,0,1,1,1,1,1,0,1,1,1,0
82,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",23632.5,29,2002,12426,"Petrol",110,"Grey",0,1600,5,4,1115,1,1,1,1,1,0,1,1,1,1,0
83,"ÊTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors",21166.5,25,2002,10564,"Petrol",97,"Grey",0,1400,5,4,1110,0,1,1,1,0,0,1,1,0,1,0
84,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors",24591.5,31,2002,10089,"Petrol",110,"Blue",1,1600,5,4,1180,1,1,1,1,1,1,1,1,1,1,0
85,"ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",22810.5,25,2002,9577,"Petrol",97,"Grey",0,1400,5,4,1110,1,1,1,1,1,0,1,1,1,1,0
86,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",23906.5,28,2002,5304,"Petrol",110,"Grey",0,1600,5,4,1130,0,1,1,1,1,1,1,0,1,1,0
87,"ÊTOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors",20413,30,2002,4349,"Petrol",97,"Silver",0,1400,5,4,1100,0,1,1,0,1,0,0,0,0,1,1
88,"TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors",24591.5,20,2003,41606,"Diesel",90,"Blue",0,2000,3,4,1245,0,1,1,1,1,0,1,1,1,1,0
89,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21851.5,19,2003,32236,"Petrol",97,"Grey",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
90,"TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors",30071.5,19,2003,31068,"Diesel",110,"Grey",0,2000,3,4,1265,1,1,1,1,1,1,1,1,1,1,0
91,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",22536.5,20,2003,29891,"Petrol",97,"Black",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
92,"ÊTOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors",30482.5,20,2003,23299,"Diesel",90,"Black",0,2000,3,4,1260,0,1,1,1,1,1,1,1,1,1,0
93,"TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors",27331.5,16,2003,21417,"Diesel",90,"Grey",0,1995,3,4,1260,0,1,1,1,1,1,0,1,1,1,0
94,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21851.5,20,2003,20707,"Petrol",97,"Grey",0,1400,3,4,1100,0,1,1,1,1,0,1,1,1,1,0
95,"TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors",25893,20,2003,19788,"Petrol",110,"Black",0,1600,3,4,1120,0,1,1,0,1,0,0,0,1,1,1
96,"TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors",27331.5,17,2003,18857,"Diesel",90,"Blue",0,1995,3,4,1260,0,1,1,1,1,1,0,1,1,1,0
97,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21851.5,19,2003,18288,"Petrol",97,"Black",0,1400,3,4,1100,0,1,1,1,1,0,1,1,1,1,0
98,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",21851.5,19,2003,16121,"Petrol",97,"Blue",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
99,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",25687.5,11,2003,15222,"Petrol",110,"Blue",0,1600,3,4,1120,0,1,1,1,1,1,1,0,1,1,0
100,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",23906.5,18,2003,14850,"Petrol",97,"Grey",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
101,"ÊTOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",26016.3,20,2003,14399,"Petrol",110,"Grey",0,1600,3,4,1120,1,1,1,1,1,1,1,0,1,1,0
102,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",22262.5,19,2003,11929,"Petrol",97,"Blue",0,1400,3,4,1100,0,1,1,1,1,0,1,0,1,1,0
103,"TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors",25345,13,2003,11183,"Petrol",71,"Grey",0,1400,3,4,1125,0,1,1,0,1,0,0,0,1,1,1
104,"TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors",25345,11,2003,10017,"Petrol",110,"Grey",0,1600,3,4,1105,1,1,1,1,1,0,1,1,1,1,0
105,"TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors",26646.5,11,2003,9093,"Petrol",110,"Blue",1,1600,3,4,1155,1,1,1,1,1,0,1,0,1,1,0
106,"ÊTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",23221.5,19,2003,8542,"Petrol",97,"Green",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
107,"ÊTOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors",25756,14,2003,7145,"Petrol",110,"Blue",0,1600,3,4,1045,0,1,1,0,1,0,0,0,1,1,1
108,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",23906.5,17,2003,6213,"Petrol",97,"Grey",0,1400,3,4,1100,1,1,1,1,1,0,1,1,1,1,0
109,"ÊTOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors",24591.5,20,2003,4465,"Petrol",110,"Blue",0,1600,3,4,1105,1,1,1,1,1,0,1,1,1,1,0
111,"ÊTOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV",44525,4,2004,1,"Diesel",116,"Grey",0,2000,5,4,1480,1,1,1,1,1,1,1,0,1,1,0
112,"TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV",42470,4,2004,2485,"Diesel",116,"Grey",0,2000,5,4,1480,0,1,1,1,1,1,1,1,1,1,0
113,"TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV",42846.75,4,2004,932,"Diesel",116,"Grey",0,2000,5,4,1480,1,1,1,1,1,1,1,1,1,1,0
114,"ÊTOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV",34181.5,8,2004,8234,"Diesel",116,"Grey",0,2000,5,4,1320,0,1,1,1,1,1,0,1,1,1,0
115,"TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV",34181.5,8,2004,8234,"Diesel",116,"Grey",0,2000,5,4,1320,0,1,1,1,1,1,0,1,1,1,0
116,"TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors",31441.5,7,2004,6213,"Diesel",116,"Silver",0,2000,5,4,1270,0,1,1,1,1,0,1,1,1,1,0
117,"TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen",34236.3,8,2004,3728,"Diesel",90,"Grey",0,2000,5,4,1280,1,1,1,1,1,1,1,0,1,1,0
118,"ÊTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors",30071.5,8,2004,6736,"Diesel",90,"Grey",0,2000,5,4,1270,0,1,1,1,1,1,1,1,1,1,0
119,"TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors",24523,7,2004,1,"Petrol",110,"Grey",0,1600,3,4,1105,0,1,1,1,1,0,1,0,1,1,0
120,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",26372.5,20,2003,39142,"Diesel",90,"Blue",0,2000,5,4,1255,0,1,1,1,1,0,1,1,1,1,0
121,"TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors",30482.5,17,2003,35609,"Diesel",110,"Blue",0,2000,5,4,1275,1,1,1,0,1,1,1,1,1,1,0
122,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors",25961.5,13,2003,35437,"Petrol",110,"Silver",0,1600,5,4,1115,0,1,1,1,1,0,1,0,1,1,0
123,"ÊTOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors",27331.5,19,2003,31748,"Diesel",90,"Silver",0,2000,5,4,1255,0,1,1,0,1,0,0,0,1,1,1
124,"ÊTOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",22399.5,14,2003,24858,"Petrol",110,"Black",0,1600,5,4,1115,1,1,1,1,0,0,1,1,1,1,0
125,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",25961.5,20,2003,24302,"Petrol",110,"Blue",0,1600,5,4,1130,1,1,1,1,1,1,1,1,1,1,0
126,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",23221.5,17,2003,22374,"Petrol",110,"Red",0,1600,5,4,1130,1,1,1,1,1,1,1,0,1,1,0
127,"TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors",29797.5,16,2003,22367,"Petrol",110,"Black",0,1600,5,4,1130,1,1,1,1,1,1,1,1,1,1,0
128,"TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors",21851.5,20,2003,22367,"Petrol",110,"Blue",0,1600,5,4,1075,0,1,1,0,1,0,0,0,1,1,1
129,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",22605,20,2003,21746,"Petrol",97,"Blue",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
130,"TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors",24591.5,17,2003,20963,"Petrol",97,"Blue",0,1400,5,4,1135,0,1,1,1,1,1,1,0,1,1,0
131,"TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors",21714.5,13,2003,20799,"Petrol",110,"Black",0,1600,5,4,1075,0,1,1,1,1,0,1,1,1,1,0
132,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",22262.5,20,2003,20271,"Petrol",97,"Grey",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
133,"ÊTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",21851.5,20,2003,18513,"Petrol",97,"Blue",0,1400,5,4,1110,1,1,1,1,1,0,1,1,1,1,0
134,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",22262.5,19,2003,18292,"Petrol",97,"Blue",0,1400,5,4,1110,0,1,1,1,1,0,1,1,1,1,0
135,"TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors",21851.5,13,2003,18248,"Petrol",110,"Black",0,1600,4,4,1105,0,1,1,1,1,0,1,1,1,1,0
